# Bin Lower Bound [MeV], Bin Upper Bound [MeV], Antineutrino Spectrum Weighted by IBD Cross Section [cm^2/fission/MeV x 10^-46], Diagonal Elements of Covariance Matrix [(cm^2/fission/MeV x 10^-46)^2]
1.8,   2.125, 344.19, 920.6
2.125, 2.375, 770.96, 2471
2.375, 2.625, 1080.9, 1550
2.625, 2.875, 1348.4, 1931
2.875, 3.125, 1528.8, 2003
3.125, 3.375, 1687.0, 2248
3.375, 3.625, 1746.6, 2077
3.625, 3.875, 1760.6, 1750
3.875, 4.125, 1719.3, 1512
4.125, 4.375, 1617.6, 1354
4.375, 4.625, 1466.5, 1179
4.625, 4.875, 1309.3, 1058
4.875, 5.125, 1203.0, 903.5
5.125, 5.375, 1105.4, 837.3
5.375, 5.625, 976.50, 790.9
5.625, 5.875, 852.31, 748.5
5.875, 6.125, 713.19, 616.3
6.125, 6.375, 573.90, 923.8
6.375, 6.625, 463.54, 642.7
6.625, 6.875, 368.70, 495.8
6.875, 7.125, 274.56, 352.8
7.125, 7.375, 190.00, 208.0
7.375, 7.625, 132.08, 120.5
7.625, 7.875, 92.114, 249.4
7.875, 8.125, 56.689, 118.9
8.125, 12,    4.0214, 3.266
